epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.4614894838666752,47.32533333333333,1.2250830765880283,56.024
2,1.1414958538659197,59.36533333333333,1.0868916258482677,62.112
3,1.0144325813386628,64.15466666666667,1.0599902404086363,63.096
4,0.9471239207547679,66.928,0.9988390488545303,65.712
5,0.9010258306059414,68.26933333333334,0.9605521813530447,67.312
6,0.8675391227261198,69.65333333333334,0.9508493089157602,66.528
7,0.8344782975600848,70.904,0.9383463944925372,67.512
8,0.8098671107517982,71.76266666666666,0.9399460794218361,68.144
9,0.7940333142317196,72.22666666666667,0.9164112349757758,68.216
10,0.7658962421373499,73.23466666666667,0.9163258402701229,68.84
11,0.7558703371434895,73.69866666666667,0.8996082250876805,68.832
12,0.7353106719845391,74.16533333333334,0.9207823460974047,69.112
13,0.7291116830686254,74.67466666666667,0.9038515839430378,69.408
14,0.7065184511269725,75.19466666666666,0.9614170423096708,67.728
15,0.7027009062647006,75.528,0.9016863613787209,69.88
16,0.6798386492674261,76.15733333333333,0.8943085393789784,69.928
17,0.6728189577040209,76.48,0.917701004258812,69.776
18,0.6686578173915071,76.66666666666667,0.9450360102116909,69.608
19,0.6524932194920734,77.34133333333334,0.9434961678884218,69.152
20,0.6370342914714341,78.08266666666667,0.9149341020361542,69.944
