epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.982838254536378,29.069333333333333,1.7933900902033462,37.536
2,1.9115380237940636,31.312,1.7870982053029874,38.48
3,1.8907771639449604,32.74933333333333,1.7364204698206518,38.0
4,1.8859724473627761,32.664,1.7749992837686368,36.832
5,1.8756180750428613,32.608,1.7447421297697765,38.624
6,1.8733340252584971,33.373333333333335,1.7584961311286673,36.552
7,1.8638532537038823,33.464,1.7157689534184877,38.08
8,1.862623043739755,33.34133333333333,1.7626412692277327,38.072
9,1.8618357640281065,33.376,1.7223101357364898,39.216
10,1.8536525263924648,34.165333333333336,1.689238986700697,40.08
