epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.577211822,43.51466667,1.290327844,53.624
2,1.229245387,56.784,1.098751283,61.128
3,1.11546688,60.976,1.069853163,63.12
4,1.058064485,63.30933333,1.029018881,63.88
5,1.027007884,64.02933333,1.085961402,63.272
6,1.010092125,65.23466667,1.106756073,62.608
7,0.999109611,65.58133333,1.051513555,64.528
8,1.000779403,65.496,1.141511851,61.904
9,0.992910816,65.99733333,1.067609991,64.664
10,0.983245112,66.22133333,1.100501052,61.624
11,0.981905821,66.08533333,1.042402822,64.328
12,0.9751747,66.42666667,1.052916439,65.08
13,0.984823355,66.096,1.131916974,62.232
14,0.966695202,66.704,0.999547214,65.904
15,0.956269141,67.22933333,1.104470037,62.752
